trade,entry_ts,equity_before,pnl_usd,equity_after
5806,1644639120.0,2281119180112.66,-8222084196.74,2272897095915.92
5807,1644657300.0,2272897095915.92,-39871876860.52,2233025219055.4
5808,1644658020.0,2233025219055.4,-2347987722.57,2230677231332.83
5809,1644667740.0,2230677231332.83,54614649965.54,2285291881298.37
5810,1644670080.0,2285291881298.37,18557137161.16,2303849018459.54
5811,1644678900.0,2303849018459.54,-32253344130.96,2271595674328.58
5812,1644679980.0,2271595674328.58,-13854260499.68,2257741413828.9
5813,1644680520.0,2257741413828.9,11823858729.27,2269565272558.17
5814,1644680520.0,2269565272558.17,3278505353.97,2272843777912.14
5815,1644704460.0,2272843777912.14,-34678704757.66,2238165073154.48
5816,1644705000.0,2238165073154.48,-13997193046.3,2224167880108.17
